period,org_code,org_name,nhs_region,type1_attendances_walkin,type1_attendances_booked,over_4hrs_walkin,over_4hrs_booked,waits_4_12hrs_dta,waits_12plus_hrs_dta,emergency_admissions_type1,other_emergency_admissions,type1_total_attendances,type1_total_over_4hrs,type1_pct_within_4hrs
2026-02-01,RCF,AIREDALE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5277,398,2307,0,419,262,1427,490,5675,2307,59.3
2026-02-01,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,5576,0,1114,0,0,0,896,214,5576,1114,80.0
2026-02-01,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,6942,0,3607,0,446,452,2844,506,6942,3607,48.0
2026-02-01,NTV0B,ASHFORD WALK-IN-CENTRE,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,8J094,BADGER LTD,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,G0Q0L,BARKING HOSPITAL UTC,NHS ENGLAND LONDON,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NHS ENGLAND LONDON,12627,0,5281,0,564,628,3385,1762,12627,5281,58.2
2026-02-01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8494,25,2102,0,372,1,3116,500,8519,2102,75.3
2026-02-01,R1H,BARTS HEALTH NHS TRUST,NHS ENGLAND LONDON,24013,0,10119,0,913,1271,3905,1254,24013,10119,57.9
2026-02-01,AD913,BECKENHAM BEACON UCC,NHS ENGLAND LONDON,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND ,15343,0,5384,0,80,65,4819,2293,15343,5384,64.9
2026-02-01,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,4440,0,1021,0,34,1,559,168,4440,1021,77.0
2026-02-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,7953,291,3837,94,357,624,2389,1414,8244,3931,52.3
2026-02-01,RMC,BOLTON NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,7382,34,3575,16,363,483,2304,921,7416,3591,51.6
2026-02-01,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8619,0,1977,0,572,75,2321,1232,8619,1977,77.1
2026-02-01,NNF09,BRANSHOLME HEALTH CENTRE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NNF16,BRIDLINGTON HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,Y02676,BRIGHTON STATION HEALTH CENTRE,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH EAST ,8435,0,3165,0,158,321,3031,1114,8435,3165,62.5
2026-02-01,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14380,0,2581,0,1253,154,2654,156,14380,2581,82.1
2026-02-01,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND ,10319,289,4672,69,480,558,2519,381,10608,4741,55.3
2026-02-01,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,18241,564,5070,0,913,43,2675,394,18805,5070,73.0
2026-02-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,6796,0,3794,0,558,523,1794,137,6796,3794,44.2
2026-02-01,NQT1I,CHIPPENHAM COMMUNITY HOSPITAL,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,72,0,0,
2026-02-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,4892,0,2525,0,229,747,1713,1171,4892,2525,48.4
2026-02-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11451,0,4871,0,1808,18,4119,736,11451,4871,57.5
2026-02-01,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,42,0,0,
2026-02-01,RJ6,CROYDON HEALTH SERVICES NHS TRUST,NHS ENGLAND LONDON,12080,0,4902,0,214,685,1032,134,12080,4902,59.4
2026-02-01,RN7,DARTFORD AND GRAVESHAM NHS TRUST,NHS ENGLAND SOUTH EAST ,10902,0,2879,0,612,344,3495,276,10902,2879,73.6
2026-02-01,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
