period,year,month_num,month_name,month_label,type1_attendances,type2_attendances,type3_attendances,total_attendances,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions,type1_within_4hrs,type1_over_4hrs,total_within_4hrs,total_over_4hrs,total_4hr_denominator,pct_within_4hrs
2010-08-01,2010,8,August,Aug 2010,1138652,54371,559358,1752381,287438,5367,8081,300886,,,,,,
2010-09-01,2010,9,September,Sep 2010,1150728,55181,550359,1756268,293991,5543,3673,303207,,,,,,
2010-10-01,2010,10,October,Oct 2010,1163143,54961,583244,1801348,303452,5485,2560,311497,,,,,,
2010-11-01,2010,11,November,Nov 2010,1111295,53727,486005,1651027,297832,5731,3279,306842,1065456.0,45838.0,1604591.0,46436.0,1651027.0,97.2
2010-12-01,2010,12,December,Dec 2010,1159204,45536,533001,1737741,318602,6277,3198,328078,1070729.0,88475.0,1647824.0,89917.0,1737741.0,94.8
2011-01-01,2011,1,January,Jan 2011,1133881,51585,542331,1727797,308368,5567,3626,317561,1061898.0,71983.0,1654907.0,72889.0,1727796.0,95.8
2011-02-01,2011,2,February,Feb 2011,1053707,51249,494408,1599364,276646,1678,2801,281125,1007385.0,46322.0,1552421.0,46943.0,1599364.0,97.1
2011-03-01,2011,3,March,Mar 2011,1225222,57900,580319,1863441,308390,2264,3822,314476,1167090.0,58132.0,1804268.0,59173.0,1863441.0,96.8
2011-04-01,2011,4,April,Apr 2011,1197213,54042,593120,1844375,295580,2939,3067,301586,1140917.0,56295.0,1786995.0,57380.0,1844375.0,96.9
2011-05-01,2011,5,May,May 2011,1221687,57067,594941,1873695,299961,2982,2786,305729,1168080.0,53607.0,1818890.0,54805.0,1873695.0,97.1
2011-06-01,2011,6,June,Jun 2011,1168468,54739,562210,1785417,290244,2839,2596,295678,1117615.0,50853.0,1733716.0,51702.0,1785418.0,97.1
2011-07-01,2011,7,July,Jul 2011,1211066,56204,597690,1864959,299077,3494,2593,305165,1167234.0,43832.0,1820074.0,44885.0,1864959.0,97.6
2011-08-01,2011,8,August,Aug 2011,1135801,51890,570417,1758108,289884,2844,3225,295953,1091367.0,44435.0,1713032.0,45077.0,1758109.0,97.4
2011-09-01,2011,9,September,Sep 2011,1162143,52329,566738,1781211,291050,3171,3074,297295,1107671.0,54472.0,1725818.0,55392.0,1781210.0,96.9
2011-10-01,2011,10,October,Oct 2011,1200708,54447,593757,1848912,305952,2177,4082,312211,1139227.0,61481.0,1786460.0,62453.0,1848913.0,96.6
2011-11-01,2011,11,November,Nov 2011,1134959,51772,554709,1741441,296726,2987,4475,304188,1076774.0,58186.0,1682309.0,59132.0,1741441.0,96.6
2011-12-01,2011,12,December,Dec 2011,1141606,47961,542479,1732046,313714,3073,4231,321017,1069766.0,71841.0,1659214.0,72832.0,1732046.0,95.8
2012-01-01,2012,1,January,Jan 2012,1137916,51607,547995,1737518,307651,3174,4423,315248,1064831.0,73085.0,1663771.0,73747.0,1737518.0,95.8
2012-02-01,2012,2,February,Feb 2012,1120423,51156,532653,1704232,296577,3060,4261,303898,1036193.0,84230.0,1618805.0,85427.0,1704232.0,95.0
2012-03-01,2012,3,March,Mar 2012,1263082,58574,611496,1933153,319223,3366,3476,326065,1197372.0,65710.0,1866206.0,66947.0,1933153.0,96.5
2012-04-01,2012,4,April,Apr 2012,1149634,51689,568200,1769523,302599,2687,2420,307705,1086165.0,63468.0,1704962.0,64561.0,1769523.0,96.4
2012-05-01,2012,5,May,May 2012,1251414,56417,621739,1929570,316001,2748,2383,321133,1191009.0,60405.0,1868050.0,61521.0,1929571.0,96.8
